base_case_id,evidence_condition,is_degraded_condition,model,stages_present_count,sequence_complete,decision_present,decision_parser_valid,decision_evidence_state_adequate,decision_failure_family,audit_present,audit_parser_valid,audit_evidence_state_adequate,audit_failure_family,escalation_present,escalation_parser_valid,escalation_evidence_state_adequate,escalation_failure_family,parser_valid_all_three,evidence_state_adequate_all_three,audit_detected_degradation,audit_false_assurance,escalation_recovery,cascade_sequence_type,cascade_failure,cascade_failure_family_summary
P05_CFPB_PKT_000987,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:evidence_loss;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_000987,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_000987,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:evidence_loss;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_001132,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,1,1,none,1,1,0,0,,preserved_or_clean_success,0,none
P05_CFPB_PKT_001132,compressed_lossy,True,glm-5.2,3,True,1,0,,json_parse_error,1,0,,json_parse_error,1,1,0,evidence_loss,0,0,,,,parser_failure_cascade,1,decision:json_parse_error;audit:json_parse_error;escalation:evidence_loss
P05_CFPB_PKT_001132,noisy_conflicting,True,glm-5.2,1,False,0,,,missing_persisted_stage,0,,,missing_persisted_stage,1,1,0,conflict_unresolved,0,0,,,,incomplete_persisted_sequence,1,decision:missing_persisted_stage;audit:missing_persisted_stage;escalation:conflict_unresolved
P05_CFPB_PKT_001132,partial_dropout,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_001611,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,0,,json_parse_error,0,0,0,0,,parser_failure_cascade,1,escalation:json_parse_error
P05_CFPB_PKT_001611,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:evidence_loss;audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_001611,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,0,,json_parse_error,1,1,0,conflict_unresolved,0,0,,,,parser_failure_cascade,1,decision:conflict_unresolved;audit:json_parse_error;escalation:conflict_unresolved
P05_CFPB_PKT_001611,partial_dropout,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_003713,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,1,1,none,1,1,0,0,,preserved_or_clean_success,0,none
P05_CFPB_PKT_003713,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_003713,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:json_parse_error
P05_CFPB_PKT_003713,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:evidence_loss;audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_003910,clean,False,glm-5.2,3,True,1,0,,json_parse_error,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:json_parse_error;audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_003910,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_003910,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:json_parse_error
P05_CFPB_PKT_003910,partial_dropout,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,1,0,evidence_loss,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_004762,clean,False,glm-5.2,3,True,1,0,,json_parse_error,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:json_parse_error;audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_004762,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:evidence_loss;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_004762,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_004762,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:evidence_loss;audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_005172,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,1,1,none,1,1,0,0,,preserved_or_clean_success,0,none
P05_CFPB_PKT_005172,compressed_lossy,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,1,0,evidence_loss,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_005172,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_005172,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:evidence_loss;audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_005617,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,1,1,none,1,1,0,0,,preserved_or_clean_success,0,none
P05_CFPB_PKT_005617,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_005617,noisy_conflicting,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_005617,partial_dropout,True,glm-5.2,3,True,1,0,,json_parse_error,1,0,,json_parse_error,1,1,0,evidence_loss,0,0,,,,parser_failure_cascade,1,decision:json_parse_error;audit:json_parse_error;escalation:evidence_loss
P05_CFPB_PKT_005746,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,1,1,none,1,1,0,0,,preserved_or_clean_success,0,none
P05_CFPB_PKT_005746,compressed_lossy,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,1,0,evidence_loss,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_005746,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_005746,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:evidence_loss;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_007053,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,1,1,none,1,1,0,0,,preserved_or_clean_success,0,none
P05_CFPB_PKT_007053,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:evidence_loss;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_007053,noisy_conflicting,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_007053,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:evidence_loss;audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_007427,clean,False,glm-5.2,3,True,1,1,1,none,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_007427,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_007427,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_007427,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,0,,json_parse_error,1,1,0,evidence_loss,0,0,,,,parser_failure_cascade,1,decision:evidence_loss;audit:json_parse_error;escalation:evidence_loss
P05_CFPB_PKT_007591,clean,False,glm-5.2,3,True,1,1,1,none,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_007591,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_007591,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:json_parse_error
P05_CFPB_PKT_007591,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:evidence_loss;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_007645,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,1,1,none,1,1,0,0,,preserved_or_clean_success,0,none
P05_CFPB_PKT_007645,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:evidence_loss;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_007645,noisy_conflicting,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,conflict_unresolved,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:conflict_unresolved;escalation:json_parse_error
P05_CFPB_PKT_007645,partial_dropout,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_010077,clean,False,glm-5.2,3,True,1,0,,json_parse_error,1,0,,json_parse_error,1,1,1,none,0,0,,,,parser_failure_cascade,1,decision:json_parse_error;audit:json_parse_error
P05_CFPB_PKT_010077,compressed_lossy,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_010077,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_010077,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_010205,clean,False,glm-5.2,3,True,1,1,1,none,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_010205,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_010205,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:json_parse_error
P05_CFPB_PKT_010205,partial_dropout,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,1,0,evidence_loss,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_010476,clean,False,glm-5.2,3,True,1,0,,json_parse_error,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:json_parse_error;audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_010476,compressed_lossy,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,1,0,evidence_loss,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_010476,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_010476,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,0,,json_parse_error,1,1,0,evidence_loss,0,0,,,,parser_failure_cascade,1,decision:evidence_loss;audit:json_parse_error;escalation:evidence_loss
P05_CFPB_PKT_010545,clean,False,glm-5.2,3,True,1,0,,json_parse_error,1,1,1,none,1,1,1,none,0,0,0,0,,parser_failure_cascade,1,decision:json_parse_error
P05_CFPB_PKT_010545,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_010545,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_010545,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:evidence_loss;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_010654,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,1,1,none,1,1,0,0,,preserved_or_clean_success,0,none
P05_CFPB_PKT_010654,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,1,,audit_false_assurance,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_010654,noisy_conflicting,True,glm-5.2,3,True,1,0,,json_parse_error,1,0,,json_parse_error,1,1,0,conflict_unresolved,0,0,,,,parser_failure_cascade,1,decision:json_parse_error;audit:json_parse_error;escalation:conflict_unresolved
P05_CFPB_PKT_010654,partial_dropout,True,glm-5.2,3,True,1,0,,json_parse_error,1,0,,json_parse_error,1,1,0,evidence_loss,0,0,,,,parser_failure_cascade,1,decision:json_parse_error;audit:json_parse_error;escalation:evidence_loss
P05_CFPB_PKT_011720,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,1,1,none,1,1,0,0,,preserved_or_clean_success,0,none
P05_CFPB_PKT_011720,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,0,,json_parse_error,1,1,0,evidence_loss,0,0,,,,parser_failure_cascade,1,decision:evidence_loss;audit:json_parse_error;escalation:evidence_loss
P05_CFPB_PKT_011720,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_011720,partial_dropout,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,1,0,evidence_loss,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_012020,clean,False,glm-5.2,3,True,1,0,,json_parse_error,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:json_parse_error;audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_012020,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_012020,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_012020,partial_dropout,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_012731,clean,False,glm-5.2,3,True,1,0,,json_parse_error,1,1,1,none,1,0,,json_parse_error,0,0,0,0,,parser_failure_cascade,1,decision:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_012731,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_012731,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_012731,partial_dropout,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,1,0,evidence_loss,0,0,1,1,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_012795,clean,False,glm-5.2,3,True,1,0,,json_parse_error,1,1,1,none,1,1,1,none,0,0,0,0,,parser_failure_cascade,1,decision:json_parse_error
P05_CFPB_PKT_012795,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,0,,json_parse_error,1,1,0,evidence_loss,0,0,,,,parser_failure_cascade,1,decision:evidence_loss;audit:json_parse_error;escalation:evidence_loss
P05_CFPB_PKT_012795,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_012795,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_013198,clean,False,glm-5.2,3,True,1,0,,json_parse_error,1,0,,json_parse_error,1,0,,json_parse_error,0,0,,,,parser_failure_cascade,1,decision:json_parse_error;audit:json_parse_error;escalation:json_parse_error
P05_CFPB_PKT_013198,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_013198,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_013198,partial_dropout,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,1,0,evidence_loss,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_013438,clean,False,glm-5.2,3,True,1,1,1,none,1,0,,json_parse_error,1,1,1,none,0,0,,,,parser_failure_cascade,1,audit:json_parse_error
P05_CFPB_PKT_013438,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_013438,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_013438,partial_dropout,True,glm-5.2,3,True,1,0,,json_parse_error,1,1,0,evidence_loss,1,0,,json_parse_error,0,0,1,0,,parser_failure_cascade,1,decision:json_parse_error;audit:evidence_loss;escalation:json_parse_error
P05_CFPB_PKT_013584,clean,False,glm-5.2,3,True,1,1,1,none,1,0,,json_parse_error,1,1,1,none,0,0,,,,parser_failure_cascade,1,audit:json_parse_error
P05_CFPB_PKT_013584,compressed_lossy,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_013584,noisy_conflicting,True,glm-5.2,3,True,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,1,0,conflict_unresolved,1,0,1,0,,detected_not_recovered,1,decision:conflict_unresolved;audit:conflict_unresolved;escalation:conflict_unresolved
P05_CFPB_PKT_013584,partial_dropout,True,glm-5.2,3,True,1,1,0,evidence_loss,1,1,0,evidence_loss,1,1,0,evidence_loss,1,0,1,0,,detected_not_recovered,1,decision:evidence_loss;audit:evidence_loss;escalation:evidence_loss
P05_CFPB_PKT_013800,clean,False,glm-5.2,3,True,1,1,1,none,1,1,1,none,1,1,1,none,1,1,0,0,,preserved_or_clean_success,0,none
