scope,provider,model,condition,metric,successes,n,estimate,ci_method,ci_lower,ci_upper,safe_wording,safe_note
Shared 5-task comparison,anthropic,claude-opus-4-8,missing_one_required_unit,audit_passed_true,5,5,1.000000,wilson_score_95,0.565518,1.000000,observed comparison subset under current Pilot 03 real LLM experimental conditions,"Descriptive uncertainty intervals only. These tables are computed from committed Pilot 03 summary CSV files and should not be read as general model-performance claims, deployment evidence, or provider rankings."
Shared 5-task comparison,anthropic,claude-opus-4-8,missing_one_required_unit,valid_chain,5,5,1.000000,wilson_score_95,0.565518,1.000000,observed comparison subset under current Pilot 03 real LLM experimental conditions,"Descriptive uncertainty intervals only. These tables are computed from committed Pilot 03 summary CSV files and should not be read as general model-performance claims, deployment evidence, or provider rankings."
Shared 5-task comparison,anthropic,claude-opus-4-8,missing_policy_rule,decision_correct,2,5,0.400000,wilson_score_95,0.117621,0.769276,observed comparison subset under current Pilot 03 real LLM experimental conditions,"Descriptive uncertainty intervals only. These tables are computed from committed Pilot 03 summary CSV files and should not be read as general model-performance claims, deployment evidence, or provider rankings."
Shared 5-task comparison,anthropic,claude-opus-4-8,missing_policy_rule,escalation_correct,5,5,1.000000,wilson_score_95,0.565518,1.000000,observed comparison subset under current Pilot 03 real LLM experimental conditions,"Descriptive uncertainty intervals only. These tables are computed from committed Pilot 03 summary CSV files and should not be read as general model-performance claims, deployment evidence, or provider rankings."
Shared 5-task comparison,anthropic,claude-opus-4-8,missing_policy_rule,audit_passed_true,0,5,0.000000,wilson_score_95,0.000000,0.434482,observed comparison subset under current Pilot 03 real LLM experimental conditions,"Descriptive uncertainty intervals only. These tables are computed from committed Pilot 03 summary CSV files and should not be read as general model-performance claims, deployment evidence, or provider rankings."
Shared 5-task comparison,anthropic,claude-opus-4-8,missing_policy_rule,valid_chain,5,5,1.000000,wilson_score_95,0.565518,1.000000,observed comparison subset under current Pilot 03 real LLM experimental conditions,"Descriptive uncertainty intervals only. These tables are computed from committed Pilot 03 summary CSV files and should not be read as general model-performance claims, deployment evidence, or provider rankings."
Shared 5-task comparison,anthropic,claude-opus-4-8,original_evidence,decision_correct,5,5,1.000000,wilson_score_95,0.565518,1.000000,observed comparison subset under current Pilot 03 real LLM experimental conditions,"Descriptive uncertainty intervals only. These tables are computed from committed Pilot 03 summary CSV files and should not be read as general model-performance claims, deployment evidence, or provider rankings."
Shared 5-task comparison,anthropic,claude-opus-4-8,original_evidence,escalation_correct,5,5,1.000000,wilson_score_95,0.565518,1.000000,observed comparison subset under current Pilot 03 real LLM experimental conditions,"Descriptive uncertainty intervals only. These tables are computed from committed Pilot 03 summary CSV files and should not be read as general model-performance claims, deployment evidence, or provider rankings."
Shared 5-task comparison,anthropic,claude-opus-4-8,original_evidence,audit_passed_true,5,5,1.000000,wilson_score_95,0.565518,1.000000,observed comparison subset under current Pilot 03 real LLM experimental conditions,"Descriptive uncertainty intervals only. These tables are computed from committed Pilot 03 summary CSV files and should not be read as general model-performance claims, deployment evidence, or provider rankings."
Shared 5-task comparison,anthropic,claude-opus-4-8,original_evidence,valid_chain,5,5,1.000000,wilson_score_95,0.565518,1.000000,observed comparison subset under current Pilot 03 real LLM experimental conditions,"Descriptive uncertainty intervals only. These tables are computed from committed Pilot 03 summary CSV files and should not be read as general model-performance claims, deployment evidence, or provider rankings."
