call_id,stage,task_id,evidence_condition_id,evidence_condition_label,packet_id,packet_match_method,evidence_text_hash,api_status,parsed_json_valid,primary_output_code,evidence_sufficiency_rating,uncertainty_rating,confidence_bin,issue_codes,reason_code,prompt_tokens,completion_tokens,total_tokens,estimated_cost_gbp,latency_ms
pilot05_glm52_micro_0014,audit,task_02,unknown_condition,unknown_condition,P05_CFPB_PKT_000014,cyclic_fallback,b8051dc92060ebf0d3207dbee100545bc57f11a610428aafac2f41872a0ddeca,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,437,512,949,0.002435,7677
pilot05_glm52_micro_0015,escalation,task_03,unknown_condition,unknown_condition,P05_CFPB_PKT_000015,cyclic_fallback,1d3ed6da4346a186779577b4295c6ec2b690d41ec458ca6961c18c293edf595d,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,442,512,954,0.002441,7687
pilot05_glm52_micro_0016,decision,task_04,unknown_condition,unknown_condition,P05_CFPB_PKT_000016,cyclic_fallback,8d7a0b32383bd6a239c13ddf1908cbdec86d140dff038c543aef887a3e8750b3,success,True,insufficient_evidence,low,high,low,missing_key_fact|low_specificity,evidence_missing,436,512,948,0.002434,8351
pilot05_glm52_micro_0017,audit,task_05,unknown_condition,unknown_condition,P05_CFPB_PKT_000017,cyclic_fallback,d2b9df5b9a02eb1ae5de616e4e1311af296e626551f13668a3837ec1ce7e828c,success,True,audit_flag_evidence_gap,low,high,low,missing_key_fact|low_specificity,evidence_missing,444,414,858,0.002077,6386
pilot05_glm52_micro_0018,escalation,task_06,unknown_condition,unknown_condition,P05_CFPB_PKT_000018,cyclic_fallback,98e57317fde5a89509f251a12e968751f6001c9b62be81ff3f36da0cd9f9db05,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,438,512,950,0.002436,8293
pilot05_glm52_micro_0019,decision,task_07,unknown_condition,unknown_condition,P05_CFPB_PKT_000019,cyclic_fallback,256840ac7a1d39a1b116517e74b79b95be9a65e437e188beba17d7b7a9476761,success,True,insufficient_evidence,low,high,low,missing_key_fact|low_specificity,evidence_missing,435,397,832,0.002002,6051
pilot05_glm52_micro_0020,audit,task_08,unknown_condition,unknown_condition,P05_CFPB_PKT_000020,cyclic_fallback,98e57317fde5a89509f251a12e968751f6001c9b62be81ff3f36da0cd9f9db05,success,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,438,512,950,0.002436,8795
pilot05_glm52_micro_0021,escalation,task_09,unknown_condition,unknown_condition,P05_CFPB_PKT_000021,cyclic_fallback,b08cdc0514937887b605a8103e3395945bc061619716c796daf7b198773dd100,success,True,escalate_missing_evidence,low,medium,low,missing_key_fact|low_specificity,evidence_missing,436,382,818,0.001948,5129
pilot05_glm52_micro_0022,decision,task_10,unknown_condition,unknown_condition,P05_CFPB_PKT_000022,cyclic_fallback,ae391490ea1a7b2c58c7db1516b5e1855afc4023db17d7a92b919850d93623dc,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,446,512,958,0.002446,7265
pilot05_glm52_micro_0023,audit,task_11,unknown_condition,unknown_condition,P05_CFPB_PKT_000023,cyclic_fallback,bd03b5d1846b481db96ac51cac46c3b854d33dcf48bccc3928ca0cfa07e526e0,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,436,512,948,0.002434,7577
pilot05_glm52_micro_0024,escalation,task_12,unknown_condition,unknown_condition,P05_CFPB_PKT_000024,cyclic_fallback,6c42dc7e8454d200949adbb2d0387b8eac6b7ae75a851a3cbac445e58359dbd3,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,451,512,963,0.002452,8794
pilot05_glm52_micro_0025,decision,task_01,unknown_condition,unknown_condition,P05_CFPB_PKT_000025,cyclic_fallback,f1a05d9af31d41c5aab1e76b6ae3abf60e67227547634fe4d0dcbe2863b36555,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,430,512,942,0.002427,7611
pilot05_glm52_micro_0026,audit,task_02,unknown_condition,unknown_condition,P05_CFPB_PKT_000026,cyclic_fallback,2a52b1989c7cd995d74976cbc6d4195281c51efae7de8a0afcaad83aa21d407b,success,True,audit_flag_evidence_gap,low,medium,low,missing_key_fact|low_specificity,evidence_missing,448,437,885,0.002168,7145
pilot05_glm52_micro_0027,escalation,task_03,unknown_condition,unknown_condition,P05_CFPB_PKT_000027,cyclic_fallback,7ef9c9672fbbf7d63ba0f37bbad87cf25f782d114c07cb87287f51ec9edb08a1,success,True,escalate_missing_evidence,low,high,low,missing_key_fact,evidence_missing,446,412,858,0.002072,6449
pilot05_glm52_micro_0028,decision,task_04,unknown_condition,unknown_condition,P05_CFPB_PKT_000028,cyclic_fallback,db48c90746dcb0825cbb932d4e24caee7379187f4cc9f65657319eb5ad00e6fa,success,True,more_information_needed,low,high,low,missing_key_fact|low_specificity,evidence_missing,441,445,886,0.002189,6813
pilot05_glm52_micro_0029,audit,task_05,unknown_condition,unknown_condition,P05_CFPB_PKT_000029,cyclic_fallback,96afec0611df5547ee785168db90f4b24f3e092f37b7a2cb2495d77b64d23fbc,success,True,audit_flag_evidence_gap,low,medium,low,missing_key_fact|low_specificity,evidence_missing,434,440,874,0.002162,7106
pilot05_glm52_micro_0030,escalation,task_06,unknown_condition,unknown_condition,P05_CFPB_PKT_000030,cyclic_fallback,ac5a6b740429642724b141e26f26d257377757b60e8ba1ec535fdbb36731e998,success,True,escalate_missing_evidence,low,high,low,missing_key_fact|low_specificity,evidence_missing,436,452,888,0.002209,8192
pilot05_glm52_micro_0031,decision,task_07,unknown_condition,unknown_condition,P05_CFPB_PKT_000031,cyclic_fallback,39048ae403bc4588d8ff86b22498abd6d097173567ff6c68c8ac45c1a218d171,success,True,insufficient_evidence,low,high,low,missing_key_fact|low_specificity,evidence_missing,441,441,882,0.002174,6248
pilot05_glm52_micro_0032,audit,task_08,unknown_condition,unknown_condition,P05_CFPB_PKT_000032,cyclic_fallback,94d9008691999383593f98e724c07169e935182ebfcbe39cbe4c4a96a68fc74c,success,True,audit_flag_evidence_gap,low,medium,low,missing_key_fact|low_specificity,evidence_missing,450,393,843,0.002005,6865
pilot05_glm52_micro_0033,escalation,task_09,unknown_condition,unknown_condition,P05_CFPB_PKT_000033,cyclic_fallback,94d9008691999383593f98e724c07169e935182ebfcbe39cbe4c4a96a68fc74c,success,True,escalate_missing_evidence,low,high,low,missing_key_fact,evidence_missing,450,454,904,0.002233,5826
pilot05_glm52_micro_0034,decision,task_10,unknown_condition,unknown_condition,P05_CFPB_PKT_000034,cyclic_fallback,f1b01ed53645b6c42e999db428fe1a0121d98dde9caae10fa1ca4cfa6e099788,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,436,512,948,0.002434,7169
pilot05_glm52_micro_0035,audit,task_11,unknown_condition,unknown_condition,P05_CFPB_PKT_000035,cyclic_fallback,e1af00a545d40845f5ff451fa758d12305c962809597d0eb5f573560621d2dcd,success_missing_message_content,False,unclassifiable,low,high,low,schema_uncertainty,schema_only,436,512,948,0.002434,7579
pilot05_glm52_micro_0036,escalation,task_12,unknown_condition,unknown_condition,P05_CFPB_PKT_000036,cyclic_fallback,ffecee7e31388404de50f7d82f7d47e1cf553761e9890ad0b74091f8905cdfdd,success,True,escalate_missing_evidence,low,medium,low,missing_key_fact|schema_uncertainty,evidence_missing,449,507,956,0.00243,7331
