abstract_call_order,recommended_option_id,base_packet_slot,stage,evidence_condition,future_call_type,model_provider,model_name,raw_prompt_write_allowed,raw_response_write_allowed,jsonl_write_allowed,sanitized_parser_required,abort_on_parse_failure
22,B_36_CALL_PAIRED_MICRO_PILOT,2,decision,noisy_conflicting,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
23,B_36_CALL_PAIRED_MICRO_PILOT,2,audit,noisy_conflicting,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
24,B_36_CALL_PAIRED_MICRO_PILOT,2,escalation,noisy_conflicting,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
25,B_36_CALL_PAIRED_MICRO_PILOT,3,decision,clean,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
26,B_36_CALL_PAIRED_MICRO_PILOT,3,audit,clean,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
27,B_36_CALL_PAIRED_MICRO_PILOT,3,escalation,clean,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
28,B_36_CALL_PAIRED_MICRO_PILOT,3,decision,compressed,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
29,B_36_CALL_PAIRED_MICRO_PILOT,3,audit,compressed,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
30,B_36_CALL_PAIRED_MICRO_PILOT,3,escalation,compressed,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
31,B_36_CALL_PAIRED_MICRO_PILOT,3,decision,partial_dropout,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
32,B_36_CALL_PAIRED_MICRO_PILOT,3,audit,partial_dropout,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
33,B_36_CALL_PAIRED_MICRO_PILOT,3,escalation,partial_dropout,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
34,B_36_CALL_PAIRED_MICRO_PILOT,3,decision,noisy_conflicting,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
35,B_36_CALL_PAIRED_MICRO_PILOT,3,audit,noisy_conflicting,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
36,B_36_CALL_PAIRED_MICRO_PILOT,3,escalation,noisy_conflicting,real_llm_call_only_after_explicit_approval,TO_BE_APPROVED_BY_USER,TO_BE_APPROVED_BY_USER,False,False,False,True,True
