dry_run_version,task_id,task_type,condition,gold_decision,schema_valid,escalation_label,requires_human_review,escalation_confidence,escalation_reason
pilot_04_deterministic_dry_run_v1,P04-T0006,synthetic_loan_risk_decision_support,complete,approve,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0006,synthetic_loan_risk_decision_support,partial,approve,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0006,synthetic_loan_risk_decision_support,conflicted,approve,True,mandatory_escalation,True,0.71,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0007,synthetic_loan_risk_decision_support,complete,review,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0007,synthetic_loan_risk_decision_support,partial,review,True,soft_escalation,True,0.88,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0007,synthetic_loan_risk_decision_support,conflicted,review,True,no_escalation,False,0.89,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0008,synthetic_loan_risk_decision_support,complete,review,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0008,synthetic_loan_risk_decision_support,partial,review,True,soft_escalation,True,0.88,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0008,synthetic_loan_risk_decision_support,conflicted,review,True,no_escalation,False,0.89,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0009,synthetic_loan_risk_decision_support,complete,review,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0009,synthetic_loan_risk_decision_support,partial,review,True,soft_escalation,True,0.88,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0009,synthetic_loan_risk_decision_support,conflicted,review,True,no_escalation,False,0.89,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0010,synthetic_loan_risk_decision_support,complete,review,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0010,synthetic_loan_risk_decision_support,partial,review,True,soft_escalation,True,0.88,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0010,synthetic_loan_risk_decision_support,conflicted,review,True,no_escalation,False,0.89,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0011,synthetic_loan_risk_decision_support,complete,approve,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0011,synthetic_loan_risk_decision_support,partial,approve,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0011,synthetic_loan_risk_decision_support,conflicted,approve,True,mandatory_escalation,True,0.71,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0012,synthetic_loan_risk_decision_support,complete,review,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0012,synthetic_loan_risk_decision_support,partial,review,True,soft_escalation,True,0.88,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0012,synthetic_loan_risk_decision_support,conflicted,review,True,no_escalation,False,0.89,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0013,synthetic_loan_risk_decision_support,complete,decline,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0013,synthetic_loan_risk_decision_support,partial,decline,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0013,synthetic_loan_risk_decision_support,conflicted,decline,True,mandatory_escalation,True,0.89,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0014,synthetic_loan_risk_decision_support,complete,decline,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0014,synthetic_loan_risk_decision_support,partial,decline,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0014,synthetic_loan_risk_decision_support,conflicted,decline,True,mandatory_escalation,True,0.89,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0015,synthetic_loan_risk_decision_support,complete,approve,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0015,synthetic_loan_risk_decision_support,partial,approve,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0015,synthetic_loan_risk_decision_support,conflicted,approve,True,mandatory_escalation,True,0.71,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0016,synthetic_loan_risk_decision_support,complete,decline,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0016,synthetic_loan_risk_decision_support,partial,decline,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0016,synthetic_loan_risk_decision_support,conflicted,decline,True,mandatory_escalation,True,0.89,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0017,synthetic_loan_risk_decision_support,complete,approve,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0017,synthetic_loan_risk_decision_support,partial,approve,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0017,synthetic_loan_risk_decision_support,conflicted,approve,True,mandatory_escalation,True,0.71,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0018,synthetic_loan_risk_decision_support,complete,review,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0018,synthetic_loan_risk_decision_support,partial,review,True,soft_escalation,True,0.88,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0018,synthetic_loan_risk_decision_support,conflicted,review,True,no_escalation,False,0.89,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0019,synthetic_loan_risk_decision_support,complete,approve,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0019,synthetic_loan_risk_decision_support,partial,approve,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0019,synthetic_loan_risk_decision_support,conflicted,approve,True,mandatory_escalation,True,0.71,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0020,synthetic_loan_risk_decision_support,complete,decline,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0020,synthetic_loan_risk_decision_support,partial,decline,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0020,synthetic_loan_risk_decision_support,conflicted,decline,True,mandatory_escalation,True,0.89,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0021,synthetic_loan_risk_decision_support,complete,decline,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0021,synthetic_loan_risk_decision_support,partial,decline,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0021,synthetic_loan_risk_decision_support,conflicted,decline,True,mandatory_escalation,True,0.89,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0022,synthetic_loan_risk_decision_support,complete,approve,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0022,synthetic_loan_risk_decision_support,partial,approve,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0022,synthetic_loan_risk_decision_support,conflicted,approve,True,mandatory_escalation,True,0.71,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0023,synthetic_loan_risk_decision_support,complete,review,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0023,synthetic_loan_risk_decision_support,partial,review,True,soft_escalation,True,0.88,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0023,synthetic_loan_risk_decision_support,conflicted,review,True,no_escalation,False,0.89,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0024,synthetic_loan_risk_decision_support,complete,approve,True,no_escalation,False,0.94,Audit passed and no deterministic escalation trigger is active.
pilot_04_deterministic_dry_run_v1,P04-T0024,synthetic_loan_risk_decision_support,partial,approve,True,soft_escalation,True,0.7,Evidence-state degradation or audit concern triggers soft synthetic review.
pilot_04_deterministic_dry_run_v1,P04-T0024,synthetic_loan_risk_decision_support,conflicted,approve,True,mandatory_escalation,True,0.71,Audit concern under conflicted or low-alignment evidence triggers mandatory synthetic review.
