sequence,source_heading,source_level,refinement_action,new_evidence_added,citation_status
49,pilot_05AS_figure_03_cascade_failure_rate.png,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
50,pilot_05AS_figure_04_failure_family_interpretation.png,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
51,Source paper table pack,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
52,Pilot 05AS Paper Table Pack,1,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
53,Final main results table,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
54,Claim-boundary table,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
55,Limitations and validity threats,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
56,Suggested results-section callout wording,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
57,Caption discipline,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
58,7. Claim boundary and limitations,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
59,Safe central claim,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
60,Do not claim,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
61,Claim-boundary table from committed outputs,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
62,Limitations table from committed outputs,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
63,Validity threats to discuss,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
64,Internal validity,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
65,Construct validity,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
66,External validity,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
67,Reproducibility validity,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
68,Required wording discipline,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
69,8. Reproducibility statement,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
70,Repository checkpoint,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
71,Source artifacts,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
72,05AR,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
73,05AS,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
74,05AT,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
75,Safety boundary,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
76,Reproduction boundary,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
77,9. Discussion,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
78,10. Conclusion,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
79,Appendix A. Next revision roadmap,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
80,Immediate next manuscript steps,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
81,Strong paper structure,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
82,What not to do yet,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
83,Appendix B. Assembly checkpoint,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
84,Appendix C. Do-not-claim boundary,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
85,Formal Definitions and Notation,2,NEW_EDITORIAL_STRUCTURE_FROM_COMMITTED_05AV_ONLY,NO,PLACEHOLDERS_ONLY
86,Related Work Structure,2,NEW_EDITORIAL_STRUCTURE_FROM_COMMITTED_05AV_ONLY,NO,PLACEHOLDERS_ONLY
87,Threats to Validity,2,NEW_EDITORIAL_STRUCTURE_FROM_COMMITTED_05AV_ONLY,NO,PLACEHOLDERS_ONLY
88,Claim Boundary,2,NEW_EDITORIAL_STRUCTURE_FROM_COMMITTED_05AV_ONLY,NO,PLACEHOLDERS_ONLY
