provider,model_name,model_label,condition,metric,successes,n,estimate,ci_method,ci_lower,ci_upper,interpretation,safe_note
zai,glm-5.2,GLM-5.2,missing_policy_rule,decision_correct,10,20,0.5,wilson_95,0.299298,0.700702,Whether the decision-stage final decision matched the task gold decision.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,missing_policy_rule,escalation_correct,20,20,1.0,wilson_95,0.838875,1.0,Whether the escalation-stage final decision matched the task gold decision.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,missing_policy_rule,audit_passed,2,20,0.1,wilson_95,0.027866,0.301034,Whether the audit stage passed the chain output.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,missing_policy_rule,valid_json_chain,20,20,1.0,wilson_95,0.838875,1.0,Whether the selected sanitized chain is treated as JSON-valid for comparison.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,missing_policy_rule,valid_schema_chain,20,20,1.0,wilson_95,0.838875,1.0,Whether the selected sanitized chain is schema-valid for comparison.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,missing_policy_rule,decision_correct,10,20,0.5,wilson_95,0.299298,0.700702,Whether the decision-stage final decision matched the task gold decision.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,missing_policy_rule,escalation_correct,17,20,0.85,wilson_95,0.639581,0.947631,Whether the escalation-stage final decision matched the task gold decision.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,missing_policy_rule,audit_passed,0,20,0.0,wilson_95,0.0,0.161125,Whether the audit stage passed the chain output.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,missing_policy_rule,valid_json_chain,20,20,1.0,wilson_95,0.838875,1.0,Whether the selected sanitized chain is treated as JSON-valid for comparison.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,missing_policy_rule,valid_schema_chain,20,20,1.0,wilson_95,0.838875,1.0,Whether the selected sanitized chain is schema-valid for comparison.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,missing_one_required_unit,decision_correct,10,20,0.5,wilson_95,0.299298,0.700702,Whether the decision-stage final decision matched the task gold decision.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,missing_one_required_unit,escalation_correct,10,20,0.5,wilson_95,0.299298,0.700702,Whether the escalation-stage final decision matched the task gold decision.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,missing_one_required_unit,audit_passed,11,20,0.55,wilson_95,0.342085,0.741802,Whether the audit stage passed the chain output.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,missing_one_required_unit,valid_json_chain,20,20,1.0,wilson_95,0.838875,1.0,Whether the selected sanitized chain is treated as JSON-valid for comparison.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,missing_one_required_unit,valid_schema_chain,20,20,1.0,wilson_95,0.838875,1.0,Whether the selected sanitized chain is schema-valid for comparison.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,missing_one_required_unit,decision_correct,10,20,0.5,wilson_95,0.299298,0.700702,Whether the decision-stage final decision matched the task gold decision.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,missing_one_required_unit,escalation_correct,10,20,0.5,wilson_95,0.299298,0.700702,Whether the escalation-stage final decision matched the task gold decision.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,missing_one_required_unit,audit_passed,14,20,0.7,wilson_95,0.481027,0.854523,Whether the audit stage passed the chain output.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,missing_one_required_unit,valid_json_chain,20,20,1.0,wilson_95,0.838875,1.0,Whether the selected sanitized chain is treated as JSON-valid for comparison.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,missing_one_required_unit,valid_schema_chain,20,20,1.0,wilson_95,0.838875,1.0,Whether the selected sanitized chain is schema-valid for comparison.,Uncertainty estimates are descriptive for the controlled Pilot 03 20-task comparison and use committed sanitized paired-chain outputs only. They should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
