model_label,condition,condition_label,metric,value,absolute_value_used_for_threshold,at_least_0pp,at_least_5pp,at_least_10pp,at_least_20pp,safe_note
GLM-5.2,missing_policy_rule,missing_policy_rule,escalation_recovery_rate_on_decision_failure,1.000000,1.000000,yes,yes,yes,yes,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,missing_policy_rule,missing_policy_rule,net_escalation_gain_rate,0.500000,0.500000,yes,yes,yes,yes,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,missing_one_required_unit,missing_one_required_unit,cascade_failure_rate,0.500000,0.500000,yes,yes,yes,yes,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,missing_one_required_unit,missing_one_required_unit,audit_false_assurance_rate,0.500000,0.500000,yes,yes,yes,yes,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,missing_one_required_unit,missing_one_required_unit,undetected_decision_failure_rate,0.500000,0.500000,yes,yes,yes,yes,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,missing_one_required_unit,missing_one_required_unit,escalation_recovery_rate_on_decision_failure,0.000000,0.000000,yes,no,no,no,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
Claude Opus 4.8,missing_one_required_unit,missing_one_required_unit,net_escalation_gain_rate,0.000000,0.000000,yes,no,no,no,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,missing_one_required_unit,missing_one_required_unit,cascade_failure_rate,0.500000,0.500000,yes,yes,yes,yes,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,missing_one_required_unit,missing_one_required_unit,audit_false_assurance_rate,0.450000,0.450000,yes,yes,yes,yes,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,missing_one_required_unit,missing_one_required_unit,undetected_decision_failure_rate,0.450000,0.450000,yes,yes,yes,yes,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,missing_one_required_unit,missing_one_required_unit,escalation_recovery_rate_on_decision_failure,0.000000,0.000000,yes,no,no,no,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
GLM-5.2,missing_one_required_unit,missing_one_required_unit,net_escalation_gain_rate,0.000000,0.000000,yes,no,no,no,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
