scope,provider,model_name,condition,cascade_pattern_code,cascade_pattern_label,n,condition_n,condition_rate,safe_note
GLM 20-task checkpoint,zai,glm-5.2,missing_policy_rule,D0_A1_E1,decision_correct=False; audit_passed=True; escalation_correct=True,2,20,0.100000,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
GLM 20-task checkpoint,zai,glm-5.2,missing_policy_rule,D1_A0_E1,decision_correct=True; audit_passed=False; escalation_correct=True,10,20,0.500000,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
GLM 20-task checkpoint,zai,glm-5.2,original_evidence,D1_A1_E1,decision_correct=True; audit_passed=True; escalation_correct=True,20,20,1.000000,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
GLM shared 5-task subset,zai,glm-5.2,missing_one_required_unit,D0_A0_E0,decision_correct=False; audit_passed=False; escalation_correct=False,1,5,0.200000,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
GLM shared 5-task subset,zai,glm-5.2,missing_one_required_unit,D0_A1_E0,decision_correct=False; audit_passed=True; escalation_correct=False,2,5,0.400000,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
GLM shared 5-task subset,zai,glm-5.2,missing_one_required_unit,D1_A0_E1,decision_correct=True; audit_passed=False; escalation_correct=True,2,5,0.400000,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
GLM shared 5-task subset,zai,glm-5.2,missing_policy_rule,D0_A0_E1,decision_correct=False; audit_passed=False; escalation_correct=True,2,5,0.400000,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
GLM shared 5-task subset,zai,glm-5.2,missing_policy_rule,D0_A1_E1,decision_correct=False; audit_passed=True; escalation_correct=True,1,5,0.200000,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
GLM shared 5-task subset,zai,glm-5.2,missing_policy_rule,D1_A0_E1,decision_correct=True; audit_passed=False; escalation_correct=True,2,5,0.400000,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
GLM shared 5-task subset,zai,glm-5.2,original_evidence,D1_A1_E1,decision_correct=True; audit_passed=True; escalation_correct=True,5,5,1.000000,"Stage-cascade tables are descriptive outputs from the controlled Pilot 03 setup. They use sanitized chain-level fields only and should not be interpreted as broad provider rankings, deployment evidence, or general model reliability claims."
