issue_id,severity,manuscript_section,exact_evidence,why_it_matters,required_correction,correction_needs_new_evidence,manuscript_edit_only
SCAF-010,MAJOR,Manuscript structure/scaffold,L309:  | L310: ## Source paper table pack | L311: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-011,MAJOR,Manuscript structure/scaffold,L388:  | L389: ## Do not claim | L390: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-014,MAJOR,Manuscript structure/scaffold,L544:  | L545: ## Appendix A. Next revision roadmap | L546: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-015,MAJOR,Manuscript structure/scaffold,L546:  | L547: ## Immediate next manuscript steps | L548: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-016,MAJOR,Manuscript structure/scaffold,L568:  | L569: ## What not to do yet | L570: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-017,MAJOR,Manuscript structure/scaffold,L576:  | L577: ## Appendix B. Assembly checkpoint | L578: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-018,MAJOR,Manuscript structure/scaffold,L583:  | L584: ## Appendix C. Do-not-claim boundary | L585: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-021,MAJOR,Manuscript structure/scaffold,L181: | --- | --- | --- | --- | --- | | L182: |  | value | 243.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L183: |  | value | 470.0 | pilot_05AR_paper_ready_main_results_table.csv | value | || L182: |  | value | 243.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L183: |  | value | 470.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L184: |  | value | 250.0 | pilot_05AR_paper_ready_main_results_table.csv | value | || L183: |  | value | 470.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L184: |  | value | 250.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L185: |  | value | 470.0 | pilot_05AR_paper_ready_main_results_table.csv | value | || L184: |  | value | 250.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L185: |  | value | 470.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L186:  || L197: | --- | --- | --- | --- | --- | | L198: | audit_detection_rate_degraded_mean | observed_rate | 1.0 | pilot_05AR_audit_escalation_interpretation.csv | observed_rate | | L199: | escalation_recovery_rate_degraded_mean | observed_rate | 0.0 | pilot_05AR_audit_escalation_interpretation.csv | observed_rate | || L198: | audit_detection_rate_degraded_mean | observed_rate | 1.0 | pilot_05AR_audit_escalation_interpretation.csv | observed_rate | | L199: | escalation_recovery_rate_degraded_mean | observed_rate | 0.0 | pilot_05AR_audit_escalation_interpretation.csv | observed_rate | | L200:  || L211: | --- | --- | --- | --- | --- | | L212: | cascade_failure_rate_all_sequence_groups | value | 0.929167 | pilot_05AR_cascade_failure_interpretation.csv | value | | L213:  || L224: | --- | --- | --- | --- | | L225: | Detected-but-unrecovered degradation | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | | L226: | Parser-valid / evidence-invalid divergence | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | || L225: | Detected-but-unrecovered degradation | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | | L226: | Parser-valid / evidence-invalid divergence | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | | L227: | Missing-sanitized-row gap | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | || L226: | Parser-valid / evidence-invalid divergence | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | | L227: | Missing-sanitized-row gap | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | | L228: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
STRUCT-017,MAJOR,Manuscript structure,L10: ## Manuscript status | L88: ## Study design | L92: ## Data and evidence-state boundary | L98: ## Model and execution boundary | L102: ## Pipeline stages | L108: ## Metrics | L124: ## Committed main table used by this synthesis | L142: ## Metric validation table used by this synthesis | L160: ## Reproducibility controls | L164: ## No-new-evidence rule | L170: ## Results overview | L176: ## Result 1: Parser validity diverges from evidence-state reliability | L192: ## Result 2: Audit and escalation expose downstream cascade behavior | L206: ## Result 3: Cascade failure rate summarizes pipeline-level reliability loss | L219: ## Result 4: Failure-family interpretation clarifies where degradation concentrates | L234: ## Results claim boundary | L240: ## One-sentence contribution | L244: ## Bounded novelty position | L248: ## Why the contribution remains distinct | L252: ## What the paper contributes,A large number of level-2 headings compete with numbered main sections and indicate assembly rather than publication structure.,Adopt a consistent section/subsection hierarchy after removing scaffold sections.,NO,YES
NOT-DEF-05,MODERATE,Formal definitions and notation,05AW definition term absent from manuscript: Parser-validity rate,A verified formal construct was not integrated into the paper.,Integrate the definition or document a deliberate omission during manuscript repair.,NO,YES
NOT-DEF-06,MODERATE,Formal definitions and notation,05AW definition term absent from manuscript: Reliability-layer divergence,A verified formal construct was not integrated into the paper.,Integrate the definition or document a deliberate omission during manuscript repair.,NO,YES
NOT-DEF-08,MODERATE,Formal definitions and notation,05AW definition term absent from manuscript: False assurance at the format layer,A verified formal construct was not integrated into the paper.,Integrate the definition or document a deliberate omission during manuscript repair.,NO,YES
SCAF-004,MODERATE,Manuscript structure/scaffold,L163:  | L164: ## No-new-evidence rule | L165: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-005,MODERATE,Manuscript structure/scaffold,L239:  | L240: ## One-sentence contribution | L241: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-006,MODERATE,Manuscript structure/scaffold,L189:  | L190: This is the central head-turning result. A system may become more parser-valid under degraded evidence while becoming less reliable at the evidence-state layer. That pattern is exactly why Evidence-State Reliability needs to be measured separately from final-output parser validity. | L191:  || L263:  | L264: ## What makes the work potentially head-turning | L265: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-012,MODERATE,Manuscript structure/scaffold,L470:  | L471: ## Repository checkpoint | L472: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-013,MODERATE,Manuscript structure/scaffold,L477:  | L478: ## Source artifacts | L479: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-019,MODERATE,Manuscript structure/scaffold,L629:  | L630: ## Literature Integration Provenance | L631: ,Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
SCAF-020,MODERATE,Manuscript structure/scaffold,"L1: <!-- | L2: Task 05AY verified citation and related-work integration. | L3: Source boundary: committed 05AW manuscript plus committed 05AX literature-grounding artifacts only. || L2: Task 05AY verified citation and related-work integration. | L3: Source boundary: committed 05AW manuscript plus committed 05AX literature-grounding artifacts only. | L4: Task 05AY creates a new derivative manuscript; it does not modify the committed 05AW manuscript, create empirical evidence, run experiments, or make model/API calls. || L2: Task 05AY verified citation and related-work integration. | L3: Source boundary: committed 05AW manuscript plus committed 05AX literature-grounding artifacts only. | L4: Task 05AY creates a new derivative manuscript; it does not modify the committed 05AW manuscript, create empirical evidence, run experiments, or make model/API calls. || L3: Source boundary: committed 05AW manuscript plus committed 05AX literature-grounding artifacts only. | L4: Task 05AY creates a new derivative manuscript; it does not modify the committed 05AW manuscript, create empirical evidence, run experiments, or make model/API calls. | L5: External citations support literature context and claim boundaries only. Pilot 05 empirical results remain sourced exclusively to committed internal artifacts. || L3: Source boundary: committed 05AW manuscript plus committed 05AX literature-grounding artifacts only. | L4: Task 05AY creates a new derivative manuscript; it does not modify the committed 05AW manuscript, create empirical evidence, run experiments, or make model/API calls. | L5: External citations support literature context and claim boundaries only. Pilot 05 empirical results remain sourced exclusively to committed internal artifacts. || L11:  | L12: Citation-integrated derivative produced from the committed 05AW manuscript and committed 05AX verified literature artifacts. This draft does not create new empirical evidence. | L13:  || L11:  | L12: Citation-integrated derivative produced from the committed 05AW manuscript and committed 05AX verified literature artifacts. This draft does not create new empirical evidence. | L13:  || L145: | --- | --- | --- | | L146: | call_plan_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | | L147: | ledger_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | || L146: | call_plan_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | | L147: | ledger_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | | L148: | sanitized_execution_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | || L147: | ledger_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | | L148: | sanitized_execution_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | | L149: | parser_invalid_summary_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. |",Internal assembly or workflow language makes the draft read like a validated project report rather than a journal paper.,Remove the internal heading or filename and integrate only its scholarly content into the appropriate paper section.,NO,YES
NOT-013,MINOR,Terminology,'parser-validity' occurrences=7; 'parser validity' occurrences=49,Inconsistent compound styling creates avoidable editorial noise.,"Apply one editorial convention, preserving hyphenation only where grammatically required.",NO,YES
