check_id,construct_or_term,status,evidence,required_action
NOT-011,Parser-validity hyphenation,PASS,"L63:  | L64: Formal conformance is an established and useful output property. Grammar-constrained decoding can improve or guarantee adherence to required structures, and emerging structured-output studies explicitly separate schema validity from value-level or executable correctness (Geng et al., 2023; Ray, 2026, preprint; Singh et al., 2026, preprint). Consequently, this study does not claim that structural and substantive validity have never been distinguished. Its narrower contribution is to manipulate the evidence state supplied to a multi-stage decision pipeline and measure the resulting decision, audit, escalation, parser-validity, and recovery behavior. | L65:  || L109:  | L110: The study separates parser-validity metrics from evidence-state and stage-success metrics. | L111:  || L111:  | L112: ### Parser-validity metrics | L113:  || L113:  | L114: Parser-validity metrics measure whether outputs satisfy the expected parser/schema contract. These metrics are useful for execution accounting but are not treated as evidence of substantive decision reliability. | L115:  || L171:  | L172: The committed run is organized around 720 planned/ledgered pipeline calls. The sanitized execution layer contains 713 retained rows after parser and execution accounting. The stage-success degradation range is reported as -0.517241 to -0.40678. The parser-validity delta range is reported as 0.067797 to 0.368421. The all-sequence cascade-failure rate is reported as 0.929167. The degraded audit detection mean is reported as 1.0. The degraded escalation recovery mean is reported as 0.0. | L173: ",
NOT-012,Parser validity open form,PASS,"L15:  | L16: LLM evaluation commonly emphasizes final-output validity, parser compliance, or answer-level correctness. In multi-stage decision pipelines, however, downstream outputs may remain parser-valid even when the evidence state reaching the downstream stage has been degraded. This study introduces Evidence-State Reliability as a reliability layer concerned with whether intermediate evidence states remain sufficiently complete, grounded, and usable across a multi-stage LLM decision pipeline. Using committed Pilot 05 outputs only, the study analyzes a sanitized, CFPB-backed, scaled GLM-5.2 pipeline experiment with controlled evidence-state degradation across decision, audit, and escalation stages. The central result is a divergence between parser validity and evidence-state reliability: parser validity improves under degraded evidence while stage/evidence success deteriorates. This supports the paper's core claim that parser validity is not a sufficient proxy for evidence-state reliability. The contribution is a reproducible empirical framing for reliability cascades in multi-stage LLM decision systems, with paper-ready tables, figures, claim boundaries, and repo-wide validation artifacts. | L17:  || L15:  | L16: LLM evaluation commonly emphasizes final-output validity, parser compliance, or answer-level correctness. In multi-stage decision pipelines, however, downstream outputs may remain parser-valid even when the evidence state reaching the downstream stage has been degraded. This study introduces Evidence-State Reliability as a reliability layer concerned with whether intermediate evidence states remain sufficiently complete, grounded, and usable across a multi-stage LLM decision pipeline. Using committed Pilot 05 outputs only, the study analyzes a sanitized, CFPB-backed, scaled GLM-5.2 pipeline experiment with controlled evidence-state degradation across decision, audit, and escalation stages. The central result is a divergence between parser validity and evidence-state reliability: parser validity improves under degraded evidence while stage/evidence success deteriorates. This supports the paper's core claim that parser validity is not a sufficient proxy for evidence-state reliability. The contribution is a reproducible empirical framing for reliability cascades in multi-stage LLM decision systems, with paper-ready tables, figures, claim boundaries, and repo-wide validation artifacts. | L17:  || L15:  | L16: LLM evaluation commonly emphasizes final-output validity, parser compliance, or answer-level correctness. In multi-stage decision pipelines, however, downstream outputs may remain parser-valid even when the evidence state reaching the downstream stage has been degraded. This study introduces Evidence-State Reliability as a reliability layer concerned with whether intermediate evidence states remain sufficiently complete, grounded, and usable across a multi-stage LLM decision pipeline. Using committed Pilot 05 outputs only, the study analyzes a sanitized, CFPB-backed, scaled GLM-5.2 pipeline experiment with controlled evidence-state degradation across decision, audit, and escalation stages. The central result is a divergence between parser validity and evidence-state reliability: parser validity improves under degraded evidence while stage/evidence success deteriorates. This supports the paper's core claim that parser validity is not a sufficient proxy for evidence-state reliability. The contribution is a reproducible empirical framing for reliability cascades in multi-stage LLM decision systems, with paper-ready tables, figures, claim boundaries, and repo-wide validation artifacts. | L17:  || L19:  | L20: Evidence-State Reliability; Reliability Cascades; LLM Evaluation; Multi-Stage Decision Pipelines; Parser Validity; Auditability; Escalation; CFPB; Reproducibility; GLM-5.2 | L21:  || L25:  | L26: The problem is especially important in decision pipelines where an upstream evidence packet informs downstream decision, audit, and escalation behavior. A parser-valid output can satisfy the required schema while still being grounded in a degraded evidence state. In such cases, parser validity may provide a false sense of operational reliability. | L27: ",
NOT-DEF-01,Definition 1: Evidence state,PASS,term_present_in_manuscript=True,
NOT-DEF-02,Definition 2: Parser validity,PASS,term_present_in_manuscript=True,
NOT-DEF-03,Definition 3: Stage/evidence success,PASS,term_present_in_manuscript=True,
NOT-DEF-04,Definition 4: Evidence-State Reliability,PASS,term_present_in_manuscript=True,
NOT-DEF-05,Definition 5: Parser-validity rate,FAIL,term_present_in_manuscript=False,Integrate or explicitly omit the verified definition for Parser-validity rate.
NOT-DEF-06,Definition 6: Reliability-layer divergence,FAIL,term_present_in_manuscript=False,Integrate or explicitly omit the verified definition for Reliability-layer divergence.
NOT-DEF-07,Definition 7: Reliability cascade,PASS,term_present_in_manuscript=True,
NOT-DEF-08,Definition 8: False assurance at the format layer,FAIL,term_present_in_manuscript=False,Integrate or explicitly omit the verified definition for False assurance at the format layer.
NOT-DEF-09,Definition 9: Controlled evidence degradation,PASS,term_present_in_manuscript=True,
NOT-EQ-001,Equation reference resolution,PASS,labels=[]; refs=[]; missing=[],
