check_id,metric,authoritative_values,authoritative_source_evidence,manuscript_evidence,status,notes
NUM-011,parser-validity delta lower bound,+0.067797 | 0.067797 | +6.7797% | 6.7797%,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=parser_valid_delta_min; value=0.067797; unit_or_type=proportion_delta; paper_ready=yes,L172: The committed run is organized around 720 planned/ledgered pipeline calls. The sanitized execution layer contains 713 retained rows after parser and execution accounting. The stage-success degradation range is reported as -0.517241 to -0.40678. The parser-validity delta range is reported as 0.067797 to 0.368421. The all-sequence cascade-failure rate is reported as 0.929167. The degraded audit detection mean is reported as 1.0. The degraded escalation recovery mean is reported as 0.0. || L332: | parser_valid_delta_min | 0.067797 | proportion_delta | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-012,parser-validity delta upper bound,+0.368421 | 0.368421 | +36.8421% | 36.8421%,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=parser_valid_delta_max; value=0.368421; unit_or_type=proportion_delta; paper_ready=yes,L172: The committed run is organized around 720 planned/ledgered pipeline calls. The sanitized execution layer contains 713 retained rows after parser and execution accounting. The stage-success degradation range is reported as -0.517241 to -0.40678. The parser-validity delta range is reported as 0.067797 to 0.368421. The all-sequence cascade-failure rate is reported as 0.929167. The degraded audit detection mean is reported as 1.0. The degraded escalation recovery mean is reported as 0.0. || L333: | parser_valid_delta_max | 0.368421 | proportion_delta | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-013,mean degraded audit detection,1.0 | 100%,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=audit_detection_rate_degraded_mean; value=1.0; unit_or_type=proportion; paper_ready=yes,L172: The committed run is organized around 720 planned/ledgered pipeline calls. The sanitized execution layer contains 713 retained rows after parser and execution accounting. The stage-success degradation range is reported as -0.517241 to -0.40678. The parser-validity delta range is reported as 0.067797 to 0.368421. The all-sequence cascade-failure rate is reported as 0.929167. The degraded audit detection mean is reported as 1.0. The degraded escalation recovery mean is reported as 0.0. || L198: | audit_detection_rate_degraded_mean | observed_rate | 1.0 | pilot_05AR_audit_escalation_interpretation.csv | observed_rate | || L334: | audit_detection_rate_degraded_mean | 1.0 | proportion | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-014,mean degraded escalation recovery,0.0 | 0%,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=escalation_recovery_rate_degraded_mean; value=0.0; unit_or_type=proportion; paper_ready=yes,L172: The committed run is organized around 720 planned/ledgered pipeline calls. The sanitized execution layer contains 713 retained rows after parser and execution accounting. The stage-success degradation range is reported as -0.517241 to -0.40678. The parser-validity delta range is reported as 0.067797 to 0.368421. The all-sequence cascade-failure rate is reported as 0.929167. The degraded audit detection mean is reported as 1.0. The degraded escalation recovery mean is reported as 0.0. || L199: | escalation_recovery_rate_degraded_mean | observed_rate | 0.0 | pilot_05AR_audit_escalation_interpretation.csv | observed_rate | || L335: | escalation_recovery_rate_degraded_mean | 0.0 | proportion | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-015,all-sequence cascade-failure rate,0.929167 | 92.9167%,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=cascade_failure_rate_all_sequence_groups; value=0.929167; unit_or_type=proportion; paper_ready=yes,L172: The committed run is organized around 720 planned/ledgered pipeline calls. The sanitized execution layer contains 713 retained rows after parser and execution accounting. The stage-success degradation range is reported as -0.517241 to -0.40678. The parser-validity delta range is reported as 0.067797 to 0.368421. The all-sequence cascade-failure rate is reported as 0.929167. The degraded audit detection mean is reported as 1.0. The degraded escalation recovery mean is reported as 0.0. || L212: | cascade_failure_rate_all_sequence_groups | value | 0.929167 | pilot_05AR_cascade_failure_interpretation.csv | value | || L336: | cascade_failure_rate_all_sequence_groups | 0.929167 | proportion | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-016,maximum cumulative estimated cost,2.2731216 | 2.2731 | $2.2731216 | USD 2.2731216,reports/pilot_05_cfpb_glm52_scaled_results_interpretation/pilot_05AR_paper_ready_main_results_table.csv: metric=max_cumulative_estimated_cost_usd; value=2.2731216; unit_or_type=USD; paper_ready=yes,L137: | max_cumulative_estimated_cost_usd | 2.2731216 | USD | yes | || L329: | max_cumulative_estimated_cost_usd | 2.2731216 | USD | yes |,PASS,Exact authoritative 05AR main-results metric-key resolution with line-based manuscript matching; human semantic review remains required.
NUM-017,ledger parser accounting,calculated=720; expected=720,Protected values from committed 05AR evidence contract,,PASS,Deterministic arithmetic consistency check.
NUM-018,persisted parser accounting,calculated=713; expected=713,Protected values from committed 05AR evidence contract,,PASS,Deterministic arithmetic consistency check.
NUM-019,missing sanitized row accounting,calculated=7; expected=7,Protected values from committed 05AR evidence contract,,PASS,Deterministic arithmetic consistency check.
NUM-020,parser-valid preservation,calculated=0; expected=0,Protected values from committed 05AR evidence contract,,PASS,Deterministic arithmetic consistency check.
