check_id,category,item,status,evidence,required_action
SCAF-012,scaffold_language,Repository checkpoint heading,FAIL,L470:  | L471: ## Repository checkpoint | L472: ,Remove or rewrite as journal-form prose.
SCAF-013,scaffold_language,Source artifacts heading,FAIL,L477:  | L478: ## Source artifacts | L479: ,Remove or rewrite as journal-form prose.
SCAF-014,scaffold_language,Revision roadmap appendix,FAIL,L544:  | L545: ## Appendix A. Next revision roadmap | L546: ,Remove or rewrite as journal-form prose.
SCAF-015,scaffold_language,Immediate next steps heading,FAIL,L546:  | L547: ## Immediate next manuscript steps | L548: ,Remove or rewrite as journal-form prose.
SCAF-016,scaffold_language,What-not-to-do heading,FAIL,L568:  | L569: ## What not to do yet | L570: ,Remove or rewrite as journal-form prose.
SCAF-017,scaffold_language,Assembly checkpoint appendix,FAIL,L576:  | L577: ## Appendix B. Assembly checkpoint | L578: ,Remove or rewrite as journal-form prose.
SCAF-018,scaffold_language,Do-not-claim appendix,FAIL,L583:  | L584: ## Appendix C. Do-not-claim boundary | L585: ,Remove or rewrite as journal-form prose.
SCAF-019,scaffold_language,Literature integration provenance heading,FAIL,L629:  | L630: ## Literature Integration Provenance | L631: ,Remove or rewrite as journal-form prose.
SCAF-020,scaffold_language,Internal task identifier,FAIL,"L1: <!-- | L2: Task 05AY verified citation and related-work integration. | L3: Source boundary: committed 05AW manuscript plus committed 05AX literature-grounding artifacts only. || L2: Task 05AY verified citation and related-work integration. | L3: Source boundary: committed 05AW manuscript plus committed 05AX literature-grounding artifacts only. | L4: Task 05AY creates a new derivative manuscript; it does not modify the committed 05AW manuscript, create empirical evidence, run experiments, or make model/API calls. || L2: Task 05AY verified citation and related-work integration. | L3: Source boundary: committed 05AW manuscript plus committed 05AX literature-grounding artifacts only. | L4: Task 05AY creates a new derivative manuscript; it does not modify the committed 05AW manuscript, create empirical evidence, run experiments, or make model/API calls. || L3: Source boundary: committed 05AW manuscript plus committed 05AX literature-grounding artifacts only. | L4: Task 05AY creates a new derivative manuscript; it does not modify the committed 05AW manuscript, create empirical evidence, run experiments, or make model/API calls. | L5: External citations support literature context and claim boundaries only. Pilot 05 empirical results remain sourced exclusively to committed internal artifacts. || L3: Source boundary: committed 05AW manuscript plus committed 05AX literature-grounding artifacts only. | L4: Task 05AY creates a new derivative manuscript; it does not modify the committed 05AW manuscript, create empirical evidence, run experiments, or make model/API calls. | L5: External citations support literature context and claim boundaries only. Pilot 05 empirical results remain sourced exclusively to committed internal artifacts. || L11:  | L12: Citation-integrated derivative produced from the committed 05AW manuscript and committed 05AX verified literature artifacts. This draft does not create new empirical evidence. | L13:  || L11:  | L12: Citation-integrated derivative produced from the committed 05AW manuscript and committed 05AX verified literature artifacts. This draft does not create new empirical evidence. | L13:  || L145: | --- | --- | --- | | L146: | call_plan_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | | L147: | ledger_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | || L146: | call_plan_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | | L147: | ledger_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | | L148: | sanitized_execution_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | || L147: | ledger_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | | L148: | sanitized_execution_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. | | L149: | parser_invalid_summary_rows | 05AN/05AO/05AP/05AP-B committed contract value | Recorded as previously verified scaled-output contract value; not recomputed from raw data in this task per approved 05AR scope. |",Remove or rewrite as journal-form prose.
SCAF-021,scaffold_language,Internal artifact filename,FAIL,L181: | --- | --- | --- | --- | --- | | L182: |  | value | 243.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L183: |  | value | 470.0 | pilot_05AR_paper_ready_main_results_table.csv | value | || L182: |  | value | 243.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L183: |  | value | 470.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L184: |  | value | 250.0 | pilot_05AR_paper_ready_main_results_table.csv | value | || L183: |  | value | 470.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L184: |  | value | 250.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L185: |  | value | 470.0 | pilot_05AR_paper_ready_main_results_table.csv | value | || L184: |  | value | 250.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L185: |  | value | 470.0 | pilot_05AR_paper_ready_main_results_table.csv | value | | L186:  || L197: | --- | --- | --- | --- | --- | | L198: | audit_detection_rate_degraded_mean | observed_rate | 1.0 | pilot_05AR_audit_escalation_interpretation.csv | observed_rate | | L199: | escalation_recovery_rate_degraded_mean | observed_rate | 0.0 | pilot_05AR_audit_escalation_interpretation.csv | observed_rate | || L198: | audit_detection_rate_degraded_mean | observed_rate | 1.0 | pilot_05AR_audit_escalation_interpretation.csv | observed_rate | | L199: | escalation_recovery_rate_degraded_mean | observed_rate | 0.0 | pilot_05AR_audit_escalation_interpretation.csv | observed_rate | | L200:  || L211: | --- | --- | --- | --- | --- | | L212: | cascade_failure_rate_all_sequence_groups | value | 0.929167 | pilot_05AR_cascade_failure_interpretation.csv | value | | L213:  || L224: | --- | --- | --- | --- | | L225: | Detected-but-unrecovered degradation | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | | L226: | Parser-valid / evidence-invalid divergence | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | || L225: | Detected-but-unrecovered degradation | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | | L226: | Parser-valid / evidence-invalid divergence | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | | L227: | Missing-sanitized-row gap | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | || L226: | Parser-valid / evidence-invalid divergence | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | | L227: | Missing-sanitized-row gap | 1.0 | pilot_05AR_failure_family_interpretation.csv | row_presence_count_fallback | | L228: ,Remove or rewrite as journal-form prose.
SCAF-022,scaffold_language,Internal repository path,PASS,,
STRUCT-015,duplicate_headings,Duplicate non-exempt headings,PASS,,
STRUCT-016,section_numbering,Top-level numbered section sequence,PASS,"observed=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]; expected=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",
STRUCT-017,heading_hierarchy,Unnumbered level-2 headings inside numbered body,FAIL,L10: ## Manuscript status | L88: ## Study design | L92: ## Data and evidence-state boundary | L98: ## Model and execution boundary | L102: ## Pipeline stages | L108: ## Metrics | L124: ## Committed main table used by this synthesis | L142: ## Metric validation table used by this synthesis | L160: ## Reproducibility controls | L164: ## No-new-evidence rule | L170: ## Results overview | L176: ## Result 1: Parser validity diverges from evidence-state reliability | L192: ## Result 2: Audit and escalation expose downstream cascade behavior | L206: ## Result 3: Cascade failure rate summarizes pipeline-level reliability loss | L219: ## Result 4: Failure-family interpretation clarifies where degradation concentrates | L234: ## Results claim boundary | L240: ## One-sentence contribution | L244: ## Bounded novelty position | L248: ## Why the contribution remains distinct | L252: ## What the paper contributes,Convert body subsections to a consistent subordinate heading level and numbering scheme.
