evidence_state_id,packet_id,subset_rank,condition_name,condition_order,evidence_state_text,degradation_profile
P05_CFPB_ES_003_03_partial_dropout,P05_CFPB_PKT_004762,3,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Problem with a purchase shown on your statement; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-01; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=absent; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_003_04_noisy_conflicting,P05_CFPB_PKT_004762,3,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Card was charged for something you did not purchase with the card; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-01; consumer_tag_presence=present; state_presence=present; narrative_available=absent; narrative_length_bucket=missing; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_004_01_clean,P05_CFPB_PKT_000605,4,clean,1,"Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Advertising and marketing, including promotional offers; sub_issue_category=Confusing or misleading advertising about the credit card; submitted_via=Web; received_month=2026-01; narrative_available=present; narrative_length_bucket=1000-2999; consumer_tag_presence=present; state_presence=present.",original_sanitized_packet_text
P05_CFPB_ES_004_02_compressed,P05_CFPB_PKT_000605,4,compressed,2,"Evidence packet compressed: product_family=Credit card; issue_category=Advertising and marketing, including promotional offers; received_month=2026-01; narrative_available=present.",category_compression_and_detail_reduction
P05_CFPB_ES_004_03_partial_dropout,P05_CFPB_PKT_000605,4,partial_dropout,3,"Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Advertising and marketing, including promotional offers; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-01; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=present; narrative_length_bucket=__DROPPED__.",structured_field_dropout_without_target
P05_CFPB_ES_004_04_noisy_conflicting,P05_CFPB_PKT_000605,4,noisy_conflicting,4,"Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Advertising and marketing, including promotional offers; sub_issue_category=Confusing or misleading advertising about the credit card; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-01; consumer_tag_presence=present; state_presence=present; narrative_available=present; narrative_length_bucket=1000-2999; evidence_quality_warning=simulated_non_outcome_conflict.",simulated_non_outcome_conflicting_signals
P05_CFPB_ES_005_01_clean,P05_CFPB_PKT_007053,5,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Closing your account; sub_issue_category=Can't close your account; submitted_via=Web; received_month=2026-01; narrative_available=present; narrative_length_bucket=250-999; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_005_02_compressed,P05_CFPB_PKT_007053,5,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Closing your account; received_month=2026-01; narrative_available=present.,category_compression_and_detail_reduction
P05_CFPB_ES_005_03_partial_dropout,P05_CFPB_PKT_007053,5,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Closing your account; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-01; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=present; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_005_04_noisy_conflicting,P05_CFPB_PKT_007053,5,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Closing your account; sub_issue_category=Can't close your account; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-01; consumer_tag_presence=present; state_presence=present; narrative_available=present; narrative_length_bucket=250-999; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_006_01_clean,P05_CFPB_PKT_000987,6,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Getting a credit card; sub_issue_category=Application denied; submitted_via=Web; received_month=2026-01; narrative_available=absent; narrative_length_bucket=missing; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_006_02_compressed,P05_CFPB_PKT_000987,6,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Getting a credit card; received_month=2026-01; narrative_available=absent.,category_compression_and_detail_reduction
P05_CFPB_ES_006_03_partial_dropout,P05_CFPB_PKT_000987,6,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Getting a credit card; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-01; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=absent; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_006_04_noisy_conflicting,P05_CFPB_PKT_000987,6,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Getting a credit card; sub_issue_category=Application denied; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-01; consumer_tag_presence=present; state_presence=present; narrative_available=absent; narrative_length_bucket=missing; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_007_01_clean,P05_CFPB_PKT_007591,7,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Credit card company isn't resolving a dispute about a purchase on your statement; submitted_via=Web; received_month=2026-01; narrative_available=absent; narrative_length_bucket=missing; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_007_02_compressed,P05_CFPB_PKT_007591,7,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Problem with a purchase shown on your statement; received_month=2026-01; narrative_available=absent.,category_compression_and_detail_reduction
P05_CFPB_ES_007_03_partial_dropout,P05_CFPB_PKT_007591,7,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Problem with a purchase shown on your statement; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-01; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=absent; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_007_04_noisy_conflicting,P05_CFPB_PKT_007591,7,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Credit card company isn't resolving a dispute about a purchase on your statement; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-01; consumer_tag_presence=present; state_presence=present; narrative_available=absent; narrative_length_bucket=missing; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_008_01_clean,P05_CFPB_PKT_001132,8,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Card was charged for something you did not purchase with the card; submitted_via=Web; received_month=2026-01; narrative_available=present; narrative_length_bucket=1000-2999; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_008_02_compressed,P05_CFPB_PKT_001132,8,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Problem with a purchase shown on your statement; received_month=2026-01; narrative_available=present.,category_compression_and_detail_reduction
P05_CFPB_ES_008_03_partial_dropout,P05_CFPB_PKT_001132,8,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Problem with a purchase shown on your statement; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-01; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=present; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_008_04_noisy_conflicting,P05_CFPB_PKT_001132,8,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Card was charged for something you did not purchase with the card; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-01; consumer_tag_presence=present; state_presence=present; narrative_available=present; narrative_length_bucket=1000-2999; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_009_01_clean,P05_CFPB_PKT_007645,9,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Card was charged for something you did not purchase with the card; submitted_via=Web; received_month=2026-01; narrative_available=present; narrative_length_bucket=1000-2999; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_009_02_compressed,P05_CFPB_PKT_007645,9,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Problem with a purchase shown on your statement; received_month=2026-01; narrative_available=present.,category_compression_and_detail_reduction
P05_CFPB_ES_009_03_partial_dropout,P05_CFPB_PKT_007645,9,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Problem with a purchase shown on your statement; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-01; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=present; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_009_04_noisy_conflicting,P05_CFPB_PKT_007645,9,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Card was charged for something you did not purchase with the card; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-01; consumer_tag_presence=present; state_presence=present; narrative_available=present; narrative_length_bucket=1000-2999; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_010_01_clean,P05_CFPB_PKT_001611,10,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Credit card company isn't resolving a dispute about a purchase on your statement; submitted_via=Web; received_month=2026-01; narrative_available=present; narrative_length_bucket=250-999; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_010_02_compressed,P05_CFPB_PKT_001611,10,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Problem with a purchase shown on your statement; received_month=2026-01; narrative_available=present.,category_compression_and_detail_reduction
P05_CFPB_ES_010_03_partial_dropout,P05_CFPB_PKT_001611,10,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Problem with a purchase shown on your statement; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-01; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=present; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_010_04_noisy_conflicting,P05_CFPB_PKT_001611,10,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Credit card company isn't resolving a dispute about a purchase on your statement; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-01; consumer_tag_presence=present; state_presence=present; narrative_available=present; narrative_length_bucket=250-999; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_011_01_clean,P05_CFPB_PKT_010476,11,clean,1,"Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Other features, terms, or problems; sub_issue_category=Problem with customer service; submitted_via=Web; received_month=2026-02; narrative_available=absent; narrative_length_bucket=missing; consumer_tag_presence=present; state_presence=present.",original_sanitized_packet_text
P05_CFPB_ES_011_02_compressed,P05_CFPB_PKT_010476,11,compressed,2,"Evidence packet compressed: product_family=Credit card; issue_category=Other features, terms, or problems; received_month=2026-02; narrative_available=absent.",category_compression_and_detail_reduction
P05_CFPB_ES_011_03_partial_dropout,P05_CFPB_PKT_010476,11,partial_dropout,3,"Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Other features, terms, or problems; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-02; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=absent; narrative_length_bucket=__DROPPED__.",structured_field_dropout_without_target
P05_CFPB_ES_011_04_noisy_conflicting,P05_CFPB_PKT_010476,11,noisy_conflicting,4,"Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Other features, terms, or problems; sub_issue_category=Problem with customer service; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-02; consumer_tag_presence=present; state_presence=present; narrative_available=absent; narrative_length_bucket=missing; evidence_quality_warning=simulated_non_outcome_conflict.",simulated_non_outcome_conflicting_signals
P05_CFPB_ES_012_01_clean,P05_CFPB_PKT_003713,12,clean,1,"Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Advertising and marketing, including promotional offers; sub_issue_category=Didn't receive advertised or promotional terms; submitted_via=Web; received_month=2026-01; narrative_available=present; narrative_length_bucket=1000-2999; consumer_tag_presence=present; state_presence=present.",original_sanitized_packet_text
P05_CFPB_ES_012_02_compressed,P05_CFPB_PKT_003713,12,compressed,2,"Evidence packet compressed: product_family=Credit card; issue_category=Advertising and marketing, including promotional offers; received_month=2026-01; narrative_available=present.",category_compression_and_detail_reduction
P05_CFPB_ES_012_03_partial_dropout,P05_CFPB_PKT_003713,12,partial_dropout,3,"Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Advertising and marketing, including promotional offers; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-01; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=present; narrative_length_bucket=__DROPPED__.",structured_field_dropout_without_target
P05_CFPB_ES_012_04_noisy_conflicting,P05_CFPB_PKT_003713,12,noisy_conflicting,4,"Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Advertising and marketing, including promotional offers; sub_issue_category=Didn't receive advertised or promotional terms; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-01; consumer_tag_presence=present; state_presence=present; narrative_available=present; narrative_length_bucket=1000-2999; evidence_quality_warning=simulated_non_outcome_conflict.",simulated_non_outcome_conflicting_signals
P05_CFPB_ES_013_01_clean,P05_CFPB_PKT_010545,13,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Incorrect information on your report; sub_issue_category=Account information incorrect; submitted_via=Web; received_month=2026-02; narrative_available=absent; narrative_length_bucket=missing; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_013_02_compressed,P05_CFPB_PKT_010545,13,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Incorrect information on your report; received_month=2026-02; narrative_available=absent.,category_compression_and_detail_reduction
P05_CFPB_ES_013_03_partial_dropout,P05_CFPB_PKT_010545,13,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Incorrect information on your report; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-02; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=absent; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_013_04_noisy_conflicting,P05_CFPB_PKT_010545,13,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Incorrect information on your report; sub_issue_category=Account information incorrect; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-02; consumer_tag_presence=present; state_presence=present; narrative_available=absent; narrative_length_bucket=missing; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_014_01_clean,P05_CFPB_PKT_003910,14,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Credit card company isn't resolving a dispute about a purchase on your statement; submitted_via=Web; received_month=2026-01; narrative_available=absent; narrative_length_bucket=missing; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_014_02_compressed,P05_CFPB_PKT_003910,14,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Problem with a purchase shown on your statement; received_month=2026-01; narrative_available=absent.,category_compression_and_detail_reduction
P05_CFPB_ES_014_03_partial_dropout,P05_CFPB_PKT_003910,14,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Problem with a purchase shown on your statement; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-01; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=absent; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_014_04_noisy_conflicting,P05_CFPB_PKT_003910,14,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Credit card company isn't resolving a dispute about a purchase on your statement; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-01; consumer_tag_presence=present; state_presence=present; narrative_available=absent; narrative_length_bucket=missing; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_015_01_clean,P05_CFPB_PKT_010654,15,clean,1,Evidence packet: product_family=Prepaid card; sub_product_bucket=Payroll card; issue_category=Unexpected or other fees; sub_issue_category=None; submitted_via=Web; received_month=2026-02; narrative_available=present; narrative_length_bucket=1000-2999; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_015_02_compressed,P05_CFPB_PKT_010654,15,compressed,2,Evidence packet compressed: product_family=Prepaid card; issue_category=Unexpected or other fees; received_month=2026-02; narrative_available=present.,category_compression_and_detail_reduction
P05_CFPB_ES_015_03_partial_dropout,P05_CFPB_PKT_010654,15,partial_dropout,3,Evidence packet partial_dropout: product_family=Prepaid card; sub_product_bucket=__DROPPED__; issue_category=Unexpected or other fees; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-02; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=present; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_015_04_noisy_conflicting,P05_CFPB_PKT_010654,15,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Prepaid card; alternative_product_signal=Credit card; sub_product_bucket=Payroll card; issue_category=Unexpected or other fees; sub_issue_category=None; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-02; consumer_tag_presence=present; state_presence=present; narrative_available=present; narrative_length_bucket=1000-2999; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_016_01_clean,P05_CFPB_PKT_005172,16,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Credit card company isn't resolving a dispute about a purchase on your statement; submitted_via=Web; received_month=2026-01; narrative_available=present; narrative_length_bucket=1000-2999; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_016_02_compressed,P05_CFPB_PKT_005172,16,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Problem with a purchase shown on your statement; received_month=2026-01; narrative_available=present.,category_compression_and_detail_reduction
P05_CFPB_ES_016_03_partial_dropout,P05_CFPB_PKT_005172,16,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Problem with a purchase shown on your statement; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-01; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=present; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_016_04_noisy_conflicting,P05_CFPB_PKT_005172,16,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Credit card company isn't resolving a dispute about a purchase on your statement; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-01; consumer_tag_presence=present; state_presence=present; narrative_available=present; narrative_length_bucket=1000-2999; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_017_01_clean,P05_CFPB_PKT_011720,17,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem when making payments; sub_issue_category=Problem during payment process; submitted_via=Web; received_month=2026-02; narrative_available=present; narrative_length_bucket=1000-2999; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_017_02_compressed,P05_CFPB_PKT_011720,17,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Problem when making payments; received_month=2026-02; narrative_available=present.,category_compression_and_detail_reduction
P05_CFPB_ES_017_03_partial_dropout,P05_CFPB_PKT_011720,17,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Problem when making payments; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-02; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=present; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
P05_CFPB_ES_017_04_noisy_conflicting,P05_CFPB_PKT_011720,17,noisy_conflicting,4,Evidence packet noisy_conflicting: product_family=Credit card; alternative_product_signal=Prepaid card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem when making payments; sub_issue_category=Problem during payment process; submitted_via=Web; alternative_submission_signal=Referral; received_month=2026-02; consumer_tag_presence=present; state_presence=present; narrative_available=present; narrative_length_bucket=1000-2999; evidence_quality_warning=simulated_non_outcome_conflict.,simulated_non_outcome_conflicting_signals
P05_CFPB_ES_018_01_clean,P05_CFPB_PKT_005617,18,clean,1,Evidence packet: product_family=Credit card; sub_product_bucket=General-purpose credit card or charge card; issue_category=Problem with a purchase shown on your statement; sub_issue_category=Card was charged for something you did not purchase with the card; submitted_via=Web; received_month=2026-01; narrative_available=present; narrative_length_bucket=3000_plus; consumer_tag_presence=present; state_presence=present.,original_sanitized_packet_text
P05_CFPB_ES_018_02_compressed,P05_CFPB_PKT_005617,18,compressed,2,Evidence packet compressed: product_family=Credit card; issue_category=Problem with a purchase shown on your statement; received_month=2026-01; narrative_available=present.,category_compression_and_detail_reduction
P05_CFPB_ES_018_03_partial_dropout,P05_CFPB_PKT_005617,18,partial_dropout,3,Evidence packet partial_dropout: product_family=Credit card; sub_product_bucket=__DROPPED__; issue_category=Problem with a purchase shown on your statement; sub_issue_category=__DROPPED__; submitted_via=__DROPPED__; received_month=2026-01; consumer_tag_presence=present; state_presence=__DROPPED__; narrative_available=present; narrative_length_bucket=__DROPPED__.,structured_field_dropout_without_target
