task_id,task_type,condition,gold_decision,glm_decision_final_decision,claude_decision_final_decision,glm_escalation_final_decision,claude_escalation_final_decision,glm_decision_correct,claude_decision_correct,glm_escalation_correct,claude_escalation_correct,glm_audit_passed,claude_audit_passed,decision_pair_outcome,escalation_pair_outcome,audit_pair_outcome,glm_escalation_transition,claude_escalation_transition,same_escalation_transition,decision_correct_disagreement,escalation_correct_disagreement,audit_passed_disagreement,both_decision_wrong,both_escalation_wrong,either_model_recovered_at_escalation,either_model_lost_at_escalation,safe_note
P03-T0004,synthetic_administrative_approval,missing_policy_rule,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0004,synthetic_administrative_approval,missing_one_required_unit,reject,reject,reject,reject,reject,True,True,True,True,False,True,both_correct,both_correct,claude_only_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,True,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0005,synthetic_administrative_approval,original_evidence,approve,approve,approve,approve,approve,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0005,synthetic_administrative_approval,missing_policy_rule,approve,reject,reject,approve,approve,False,False,True,True,True,False,both_not_correct,both_correct,glm_only_audit_passed,decision_wrong_recovered_by_escalation,decision_wrong_recovered_by_escalation,True,False,False,True,True,False,True,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0005,synthetic_administrative_approval,missing_one_required_unit,approve,reject,reject,reject,reject,False,False,False,False,True,True,both_not_correct,both_not_correct,both_audit_passed,decision_wrong_not_recovered,decision_wrong_not_recovered,True,False,False,False,True,True,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0006,synthetic_administrative_approval,original_evidence,reject,reject,reject,reject,reject,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0006,synthetic_administrative_approval,missing_policy_rule,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0006,synthetic_administrative_approval,missing_one_required_unit,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0007,synthetic_administrative_approval,original_evidence,approve,approve,approve,approve,approve,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0007,synthetic_administrative_approval,missing_policy_rule,approve,reject,reject,approve,approve,False,False,True,True,False,False,both_not_correct,both_correct,both_audit_not_passed,decision_wrong_recovered_by_escalation,decision_wrong_recovered_by_escalation,True,False,False,False,True,False,True,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0007,synthetic_administrative_approval,missing_one_required_unit,approve,reject,reject,reject,reject,False,False,False,False,True,True,both_not_correct,both_not_correct,both_audit_passed,decision_wrong_not_recovered,decision_wrong_not_recovered,True,False,False,False,True,True,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0008,synthetic_administrative_approval,original_evidence,reject,reject,reject,reject,reject,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0008,synthetic_administrative_approval,missing_policy_rule,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0008,synthetic_administrative_approval,missing_one_required_unit,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0009,synthetic_administrative_approval,original_evidence,approve,approve,approve,approve,approve,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0009,synthetic_administrative_approval,missing_policy_rule,approve,reject,reject,approve,approve,False,False,True,True,False,False,both_not_correct,both_correct,both_audit_not_passed,decision_wrong_recovered_by_escalation,decision_wrong_recovered_by_escalation,True,False,False,False,True,False,True,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0009,synthetic_administrative_approval,missing_one_required_unit,approve,reject,reject,reject,reject,False,False,False,False,True,True,both_not_correct,both_not_correct,both_audit_passed,decision_wrong_not_recovered,decision_wrong_not_recovered,True,False,False,False,True,True,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0010,synthetic_administrative_approval,original_evidence,reject,reject,reject,reject,reject,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0010,synthetic_administrative_approval,missing_policy_rule,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0010,synthetic_administrative_approval,missing_one_required_unit,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0011,synthetic_administrative_approval,original_evidence,approve,approve,approve,approve,approve,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0011,synthetic_administrative_approval,missing_policy_rule,approve,reject,reject,approve,approve,False,False,True,True,False,False,both_not_correct,both_correct,both_audit_not_passed,decision_wrong_recovered_by_escalation,decision_wrong_recovered_by_escalation,True,False,False,False,True,False,True,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0011,synthetic_administrative_approval,missing_one_required_unit,approve,reject,reject,reject,reject,False,False,False,False,True,True,both_not_correct,both_not_correct,both_audit_passed,decision_wrong_not_recovered,decision_wrong_not_recovered,True,False,False,False,True,True,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0012,synthetic_administrative_approval,original_evidence,reject,reject,reject,reject,reject,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0012,synthetic_administrative_approval,missing_policy_rule,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0012,synthetic_administrative_approval,missing_one_required_unit,reject,reject,reject,reject,reject,True,True,True,True,False,True,both_correct,both_correct,claude_only_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,True,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0013,synthetic_administrative_approval,original_evidence,approve,approve,approve,approve,approve,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0013,synthetic_administrative_approval,missing_policy_rule,approve,reject,reject,approve,reject,False,False,True,False,False,False,both_not_correct,glm_only_correct,both_audit_not_passed,decision_wrong_recovered_by_escalation,decision_wrong_not_recovered,False,False,True,False,True,False,True,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0013,synthetic_administrative_approval,missing_one_required_unit,approve,reject,reject,reject,reject,False,False,False,False,True,True,both_not_correct,both_not_correct,both_audit_passed,decision_wrong_not_recovered,decision_wrong_not_recovered,True,False,False,False,True,True,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0014,synthetic_administrative_approval,original_evidence,reject,reject,reject,reject,reject,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0014,synthetic_administrative_approval,missing_policy_rule,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0014,synthetic_administrative_approval,missing_one_required_unit,reject,reject,reject,reject,reject,True,True,True,True,True,False,both_correct,both_correct,glm_only_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,True,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0015,synthetic_administrative_approval,original_evidence,approve,approve,approve,approve,approve,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0015,synthetic_administrative_approval,missing_policy_rule,approve,reject,reject,approve,reject,False,False,True,False,True,False,both_not_correct,glm_only_correct,glm_only_audit_passed,decision_wrong_recovered_by_escalation,decision_wrong_not_recovered,False,False,True,True,True,False,True,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0015,synthetic_administrative_approval,missing_one_required_unit,approve,reject,reject,reject,reject,False,False,False,False,True,True,both_not_correct,both_not_correct,both_audit_passed,decision_wrong_not_recovered,decision_wrong_not_recovered,True,False,False,False,True,True,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0016,synthetic_administrative_approval,original_evidence,reject,reject,reject,reject,reject,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0016,synthetic_administrative_approval,missing_policy_rule,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0016,synthetic_administrative_approval,missing_one_required_unit,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0017,synthetic_administrative_approval,original_evidence,approve,approve,approve,approve,approve,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0017,synthetic_administrative_approval,missing_policy_rule,approve,reject,reject,approve,reject,False,False,True,False,False,False,both_not_correct,glm_only_correct,both_audit_not_passed,decision_wrong_recovered_by_escalation,decision_wrong_not_recovered,False,False,True,False,True,False,True,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0017,synthetic_administrative_approval,missing_one_required_unit,approve,reject,reject,reject,reject,False,False,False,False,True,True,both_not_correct,both_not_correct,both_audit_passed,decision_wrong_not_recovered,decision_wrong_not_recovered,True,False,False,False,True,True,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0018,synthetic_administrative_approval,original_evidence,reject,reject,reject,reject,reject,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0018,synthetic_administrative_approval,missing_policy_rule,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0018,synthetic_administrative_approval,missing_one_required_unit,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0019,synthetic_administrative_approval,original_evidence,approve,approve,approve,approve,approve,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0019,synthetic_administrative_approval,missing_policy_rule,approve,reject,reject,approve,approve,False,False,True,True,False,False,both_not_correct,both_correct,both_audit_not_passed,decision_wrong_recovered_by_escalation,decision_wrong_recovered_by_escalation,True,False,False,False,True,False,True,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0019,synthetic_administrative_approval,missing_one_required_unit,approve,reject,reject,reject,reject,False,False,False,False,True,True,both_not_correct,both_not_correct,both_audit_passed,decision_wrong_not_recovered,decision_wrong_not_recovered,True,False,False,False,True,True,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0020,synthetic_administrative_approval,original_evidence,reject,reject,reject,reject,reject,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0020,synthetic_administrative_approval,missing_policy_rule,reject,reject,reject,reject,reject,True,True,True,True,False,False,both_correct,both_correct,both_audit_not_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
P03-T0020,synthetic_administrative_approval,missing_one_required_unit,reject,reject,reject,reject,reject,True,True,True,True,True,True,both_correct,both_correct,both_audit_passed,decision_correct_preserved,decision_correct_preserved,True,False,False,False,False,False,False,False,Paired task-level analysis for the controlled Pilot 03 20-task GLM-5.2 and Anthropic/Claude comparison. This analysis uses committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
