task_id,task_type,condition,gold_decision,visible_evidence_unit_ids,missing_required_evidence_unit_ids,required_evidence_units_total,required_evidence_units_visible,evidence_state_reliability,evidence_state_degradation,decision_critical_distortion,decision_stage_decision,audit_passed,audit_detected_issue,audit_supported_decision,escalation_stage_decision,decision_failure,final_failure,undetected_failure,audit_false_assurance,escalation_contamination
P03-T0008,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0009,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0009,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0009,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0010,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0010,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0010,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0011,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0011,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0011,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0012,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0012,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0012,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0013,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0013,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0013,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0014,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0014,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0014,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0015,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0015,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0015,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0016,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0016,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0016,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0017,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0017,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0017,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0018,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0018,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0018,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0019,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0019,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0019,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0020,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0020,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0020,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0021,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0021,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0021,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0022,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0022,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0022,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0023,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0023,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0023,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0024,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0024,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0024,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0025,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0025,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0025,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0026,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0026,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0026,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0027,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0027,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0027,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0028,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0028,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0028,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0029,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0029,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0029,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0030,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0030,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0030,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0031,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0031,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0031,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0032,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0032,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0032,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0033,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0033,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0033,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0034,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0034,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0034,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0035,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0035,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0035,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0036,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0036,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0036,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0037,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0037,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0037,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0038,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0038,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0038,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0039,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0039,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0039,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0040,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0040,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0040,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0041,synthetic_administrative_approval,original_evidence,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,approve,True,False,approve,approve,False,False,False,False,False
P03-T0041,synthetic_administrative_approval,missing_policy_rule,approve,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0041,synthetic_administrative_approval,missing_one_required_unit,approve,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,True,True,False,False,True
P03-T0042,synthetic_administrative_approval,original_evidence,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6""]",[],6,6,1.0,0.0,False,reject,True,False,reject,reject,False,False,False,False,False
P03-T0042,synthetic_administrative_approval,missing_policy_rule,reject,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5""]","[""E6""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
P03-T0042,synthetic_administrative_approval,missing_one_required_unit,reject,"[""E2"", ""E3"", ""E4"", ""E5"", ""E6""]","[""E1""]",6,5,0.833333,0.166667,True,reject,False,True,reject,reject,False,False,False,False,False
