condition,metric,glm_5_2_value,claude_opus_4_8_value,claude_minus_glm,comparison_scope,safe_note
missing_policy_rule,decision_correct_rate,0.5,0.5,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_policy_rule,decision_failure_rate,0.5,0.5,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_policy_rule,audit_pass_rate,0.1,0.0,-0.1,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_policy_rule,audit_false_assurance_rate,0.1,0.0,-0.1,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_policy_rule,undetected_decision_failure_rate,0.1,0.0,-0.1,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_policy_rule,escalation_correct_rate,1.0,0.85,-0.15,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_policy_rule,escalation_recovery_rate_on_decision_failure,1.0,0.7,-0.3,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_policy_rule,cascade_failure_rate,0.0,0.15,0.15,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_policy_rule,net_escalation_gain_rate,0.5,0.35,-0.15,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_one_required_unit,valid_chain_rate,1.0,1.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_one_required_unit,decision_correct_rate,0.5,0.5,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_one_required_unit,decision_failure_rate,0.5,0.5,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_one_required_unit,audit_pass_rate,0.55,0.7,0.15,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_one_required_unit,audit_false_assurance_rate,0.45,0.5,0.05,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_one_required_unit,undetected_decision_failure_rate,0.45,0.5,0.05,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_one_required_unit,escalation_correct_rate,0.5,0.5,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_one_required_unit,escalation_recovery_rate_on_decision_failure,0.0,0.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_one_required_unit,cascade_failure_rate,0.5,0.5,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
missing_one_required_unit,net_escalation_gain_rate,0.0,0.0,0.0,same_20_tasks_same_evidence_condition_descriptive_difference,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
